21
-1,17
3245,16
-1,15
-1,16
-1,16
-1,16
-1,15
-1,15
-1,15
-1,15
-1,16
-1,17
-1,15
-1,15
-1,15
4819,15
9493,18
5554,15
7387,15
599,17
-1,14
-1,15
5514,17
-1,15
-1,16
-1,16
6124,17
4979,15
7825,16
-1,16
-1,15
6384,17
-1,16
-1,14
-1,14
1265,15
-1,14
5898,16
-1,15
-1,15
-1,16
-1,16
3492,15
7348,17
-1,15
2200,16
-1,16
-1,17
-1,16
-1,16
7536,15
9970,15
-1,15
4617,17
-1,14
2570,16
-1,15
1556,15
-1,15
-1,15
1388,16
9609,14
4033,17
2277,15
7503,15
9459,15
-1,16
-1,16
1625,15
-1,16
1547,16
-1,15
-1,16
-1,14
5238,15
6668,15
-1,15
-1,15
8764,16
-1,16
-1,16
8478,17
-1,15
4319,17
-1,14
7744,16
806,15
-1,16
4616,17
4177,15
-1,16
-1,15
8167,18
9492,16
5400,15
2183,16
1989,16
-1,14
3691,17
-1,15
7107,16
29,14
1294,17
-1,15
3060,16
-1,15
-1,16
-1,15
-1,16
5587,16
-1,15
1896,15
1239,15
311,16
-1,14
-1,16
9597,15
-1,15
-1,15
-1,14
4184,17
8102,14
-1,16
-1,15
4955,15
4386,17
-1,15
-1,16
-1,16
2215,16
-1,15
212,16
-1,15
6571,16
-1,15
4959,18
-1,16
8009,16
5781,16
1655,15
-1,17
-1,16
-1,14
3064,15
-1,15
-1,16
3345,16
1046,16
-1,16
-1,15
-1,16
6095,16
5250,16
-1,15
-1,15
5600,19
994,16
-1,15
-1,16
5963,16
-1,15
7566,16
4107,15
4863,16
40,15
1812,15
5301,15
376,17
1716,16
2502,16
4942,17
7379,19
-1,17
-1,16
-1,16
-1,16
-1,14
-1,16
8856,14
8847,16
-1,15
6363,16
6803,15
-1,15
-1,15
4669,16
7869,20
-1,15
-1,16
912,15
1961,17
6519,16
7334,15
2138,15
-1,16
-1,16
-1,15
3284,17
1323,16
6774,16
685,15
-1,15
-1,14
5129,15
-1,16
1621,15
-1,15
2301,15
8247,16
4613,14
-1,16
8831,16
2440,16
-1,15
-1,15
7977,16
-1,15
3253,17
-1,15
7572,17
-1,16
976,18
4264,17
3778,15
-1,15
1193,17
7795,16
4354,15
-1,15
-1,15
-1,16
9953,17
7996,15
-1,16
9695,17
-1,14
8600,14
7588,16
5038,15
